session_id,station_age_years,power_kw,num_bays,connector_type,zone,hour,day_of_week,is_weekend,ambient_temp_c,grid_load_index,start_soc_pct,battery_capacity_kwh,vehicle_segment,duration_mins,energy_kwh,failed
VG-SES-000001,5.0,180.0,5,CHAdeMO,Gachibowli,22,0,0,28.4,0.65,24.0,52.4,4W,39.0,13.82,0
VG-SES-000002,7.0,120.0,7,CCS2,Madhapur,12,4,0,33.2,0.551,59.2,9.3,3W,29.0,1.12,0
VG-SES-000003,5.0,30.0,1,Type2 AC,Secunderabad,19,1,0,31.7,0.774,25.4,59.4,4W,253.0,20.25,0
VG-SES-000004,2.0,15.0,1,Type2 AC,Kukatpally,22,1,0,33.1,,49.3,3.0,2W,659.0,1.03,0
VG-SES-000005,7.0,120.0,7,CCS2,Madhapur,6,4,0,25.8,0.502,51.1,4.5,2W,32.0,0.0,1
VG-SES-000006,5.0,180.0,5,CHAdeMO,Gachibowli,18,5,1,23.6,0.727,33.5,2.5,2W,27.0,0.0,1
VG-SES-000007,2.0,60.0,2,CCS2,Gachibowli,9,0,0,,0.669,21.6,4.4,2W,150.0,2.58,0
VG-SES-000008,4.0,60.0,3,Type2 AC,Madhapur,13,5,1,23.3,0.508,47.0,63.7,4W,84.0,31.45,0
VG-SES-000009,5.0,60.0,3,CCS2,Kukatpally,16,5,1,34.7,0.588,19.0,7.0,3W,154.0,2.54,0
VG-SES-000010,4.0,150.0,3,CCS2,Uppal,12,0,0,25.5,0.593,70.0,3.0,2W,26.0,0.17,0
VG-SES-000011,4.0,60.0,3,Type2 AC,Madhapur,9,1,0,24.5,0.643,33.4,11.0,3W,164.0,5.95,0
VG-SES-000012,2.0,180.0,8,CHAdeMO,Madhapur,20,0,0,29.5,0.854,30.5,3.6,2W,24.0,0.35,0
VG-SES-000013,5.0,30.0,1,Type2 AC,Secunderabad,21,5,1,29.3,0.747,36.7,10.9,3W,445.0,3.59,0
VG-SES-000014,3.0,150.0,5,CCS2,Kukatpally,20,3,0,26.8,0.8,25.6,38.1,4W,37.0,10.69,0
VG-SES-000015,2.0,15.0,1,Type2 AC,Kukatpally,5,5,1,24.2,0.483,41.0,52.1,4W,235.0,27.81,0
VG-SES-000016,7.0,30.0,2,Bharat AC-001,Kukatpally,23,2,0,19.8,0.671,29.4,63.2,4W,343.0,32.96,0
VG-SES-000017,7.0,30.0,4,Type2 AC,Gachibowli,16,0,0,28.1,0.662,38.7,28.8,4W,81.0,0.0,1
VG-SES-000018,2.0,60.0,2,CCS2,Gachibowli,9,0,0,25.1,0.69,71.2,36.7,4W,75.0,9.97,0
VG-SES-000019,3.0,150.0,5,CCS2,Kukatpally,8,6,1,18.0,0.603,33.1,2.1,2W,80.0,0.71,0
VG-SES-000020,5.0,30.0,1,Type2 AC,Secunderabad,21,6,1,31.7,0.781,54.4,2.3,2W,650.0,0.0,1
VG-SES-000021,5.0,180.0,5,CHAdeMO,Gachibowli,8,1,0,20.4,0.713,37.7,68.4,4W,33.0,0.0,1
VG-SES-000022,7.0,30.0,4,Type2 AC,Gachibowli,8,5,1,17.5,0.516,30.2,4.2,2W,109.0,1.13,0
VG-SES-000023,5.0,60.0,3,CCS2,Kukatpally,9,0,0,28.4,0.689,26.5,7.9,3W,117.0,0.0,1
VG-SES-000024,5.0,60.0,3,CCS2,Kukatpally,10,5,1,,0.584,61.4,3.7,2W,82.0,1.32,0
VG-SES-000025,7.0,120.0,7,CCS2,Madhapur,22,2,0,,,55.3,30.3,4W,49.0,9.84,0
VG-SES-000026,7.0,30.0,2,Bharat AC-001,Kukatpally,5,0,0,16.1,0.539,52.4,3.8,2W,212.0,1.64,0
VG-SES-000027,6.0,30.0,3,Type2 AC,Madhapur,5,6,1,23.2,0.486,22.0,2.6,2W,391.0,0.74,0
VG-SES-000028,4.0,150.0,3,CCS2,Uppal,8,4,0,22.2,0.648,14.5,3.5,2W,35.0,0.5,0
VG-SES-000029,5.0,60.0,3,CCS2,Kukatpally,11,6,1,25.9,0.537,31.2,29.8,4W,200.0,16.46,0
VG-SES-000030,4.0,150.0,3,CCS2,Uppal,11,2,0,41.1,0.59,40.4,2.9,2W,31.0,0.4,0
VG-SES-000031,6.0,30.0,4,Bharat DC-001,Uppal,13,2,0,27.4,0.5,25.1,2.4,2W,98.0,0.96,0
VG-SES-000032,3.0,150.0,5,CCS2,Kukatpally,21,1,0,24.9,0.742,28.5,2.9,2W,41.0,0.57,0
VG-SES-000033,5.0,30.0,1,Type2 AC,Secunderabad,20,2,0,,,15.4,2.1,2W,327.0,0.0,1
VG-SES-000034,4.0,150.0,3,CCS2,Uppal,13,1,0,23.9,0.524,20.9,4.1,2W,56.0,0.86,0
VG-SES-000035,6.0,30.0,4,Bharat DC-001,Uppal,10,4,0,26.3,0.573,37.0,56.3,4W,163.0,20.18,0
VG-SES-000036,3.0,30.0,2,Type2 AC,Secunderabad,15,4,0,34.0,0.541,31.5,56.6,4W,95.0,27.4,0
VG-SES-000037,4.0,150.0,3,CCS2,Uppal,18,1,0,29.6,,55.0,227.4,Bus,48.0,51.63,0
VG-SES-000038,3.0,30.0,1,Bharat AC-001,Uppal,0,3,0,,0.442,20.1,3.5,2W,189.0,1.68,0
VG-SES-000039,5.0,30.0,1,Type2 AC,Secunderabad,22,0,0,27.8,0.697,16.4,3.3,2W,493.0,0.67,0
VG-SES-000040,5.0,180.0,5,CHAdeMO,Gachibowli,20,1,0,35.9,0.797,16.7,45.5,4W,32.0,3.55,0
