session_id,station_age_years,power_kw,num_bays,connector_type,zone,hour,day_of_week,is_weekend,ambient_temp_c,grid_load_index,start_soc_pct,battery_capacity_kwh,vehicle_segment,duration_mins,energy_kwh,failed
VG-SES-002269,2.0,15.0,1,Type2 AC,Kukatpally,19,4,0,35.3,0.838,35.2,35.5,4W,368.0,18.97,0
VG-SES-043378,3.0,30.0,1,Bharat AC-001,Uppal,19,3,0,30.8,0.887,72.0,2.5,2W,702.0,0.73,0
VG-SES-011699,3.0,150.0,5,CCS2,Kukatpally,19,3,0,34.1,0.801,47.8,2.7,2W,31.0,0.33,0
VG-SES-019729,7.0,30.0,4,Type2 AC,Gachibowli,8,1,0,22.0,0.616,38.3,8.7,3W,262.0,0.0,1
VG-SES-020014,2.0,180.0,8,CHAdeMO,Madhapur,8,3,0,24.7,0.643,48.5,6.6,3W,10.0,0.25,0
VG-SES-035989,7.0,30.0,4,Type2 AC,Gachibowli,9,6,1,29.6,0.635,44.2,4.1,2W,102.0,1.25,0
VG-SES-009169,7.0,120.0,7,CCS2,Madhapur,8,4,0,32.0,0.587,65.6,52.1,4W,29.0,10.35,0
VG-SES-015496,2.0,60.0,2,CCS2,Gachibowli,8,5,1,19.1,0.544,20.7,67.0,4W,124.0,35.31,0
VG-SES-040314,4.0,30.0,4,Bharat AC-001,Gachibowli,20,3,0,21.8,0.814,46.0,4.5,2W,150.0,2.2,0
VG-SES-039982,4.0,60.0,3,Type2 AC,Madhapur,15,3,0,35.2,0.566,41.1,38.3,4W,213.0,17.89,0
VG-SES-042155,3.0,150.0,5,CCS2,Kukatpally,11,6,1,28.5,0.527,20.1,3.0,2W,76.0,0.98,0
VG-SES-024807,7.0,30.0,4,Type2 AC,Gachibowli,10,4,0,34.5,0.689,33.5,2.6,2W,69.0,0.07,0
VG-SES-035605,5.0,180.0,5,CHAdeMO,Gachibowli,20,5,1,32.8,0.815,36.5,2.0,2W,42.0,0.0,1
VG-SES-035704,2.0,60.0,2,CCS2,Gachibowli,15,5,1,40.6,0.463,52.6,58.6,4W,268.0,27.74,0
VG-SES-021531,4.0,150.0,3,CCS2,Uppal,20,3,0,35.9,0.798,44.5,11.5,3W,22.0,1.04,0
VG-SES-006081,3.0,30.0,1,Bharat AC-001,Uppal,19,0,0,36.5,0.825,68.9,2.1,2W,271.0,0.23,0
VG-SES-015135,6.0,150.0,4,GB/T,Secunderabad,13,1,0,24.9,0.523,18.0,2.1,2W,32.0,0.26,0
VG-SES-025095,6.0,150.0,4,GB/T,Secunderabad,13,6,1,34.0,0.534,20.7,63.5,4W,28.0,12.34,0
VG-SES-021806,2.0,15.0,1,Type2 AC,Kukatpally,22,5,1,23.7,0.655,45.8,49.0,4W,382.0,10.82,0
VG-SES-030443,7.0,30.0,4,Type2 AC,Gachibowli,9,5,1,31.6,0.579,61.1,59.1,4W,167.0,22.59,0
VG-SES-024343,4.0,150.0,3,CCS2,Uppal,7,0,0,31.7,0.627,54.5,2.4,2W,33.0,0.34,0
VG-SES-028946,5.0,180.0,5,CHAdeMO,Gachibowli,20,4,0,21.5,0.829,44.8,41.0,4W,47.0,12.67,0
VG-SES-042479,6.0,150.0,4,GB/T,Secunderabad,12,1,0,42.0,0.604,14.3,73.0,4W,51.0,24.27,0
VG-SES-033809,3.0,150.0,5,CCS2,Kukatpally,18,5,1,36.1,0.779,54.9,3.1,2W,18.0,0.22,0
VG-SES-013537,3.0,30.0,2,Type2 AC,Secunderabad,8,3,0,31.5,0.651,35.5,2.2,2W,189.0,0.49,0
VG-SES-015180,2.0,180.0,8,CHAdeMO,Madhapur,8,4,0,33.1,0.61,49.7,7.1,3W,41.0,1.29,0
VG-SES-012347,2.0,180.0,8,CHAdeMO,Madhapur,21,0,0,27.7,0.731,10.1,69.7,4W,53.0,5.75,0
VG-SES-011212,4.0,60.0,3,Type2 AC,Madhapur,10,6,1,21.5,0.588,42.0,9.6,3W,87.0,3.28,0
VG-SES-023075,5.0,180.0,5,CHAdeMO,Gachibowli,8,1,0,30.0,0.633,29.5,57.5,4W,34.0,14.18,0
VG-SES-015826,5.0,30.0,1,Type2 AC,Secunderabad,1,1,0,30.4,0.411,55.9,8.5,4W,511.0,3.74,0
VG-SES-015547,2.0,60.0,2,CCS2,Gachibowli,11,2,0,38.8,0.545,22.6,65.6,4W,150.0,20.0,0
