session_id,account_id,station_id,connector_type,zone,started_at,initiated_via,status,start_soc_pct,ambient_temp_c,grid_load_index,energy_kwh,duration_mins,amount_inr,rating,error_code
VG-SES-000001,VG-ACC-01391,VG-ST-002,CHAdeMO,Gachibowli,2025-04-14 22:15,App,Completed,24.0,28.4,0.65,13.82,39.0,359,3.0,
VG-SES-000002,VG-ACC-00866,VG-ST-001,CCS2,Madhapur,2025-10-17 12:00,RFID ,Completed,59.2,33.2,0.551,1.12,29.0,29,3.0,
VG-SES-000003,VG-ACC-00183,VG-ST-014,Type2 AC,Secunderabad,2025-09-23 19:00,walk-up,Completed,25.4,31.7,0.774,20.25,253.0,243,2.0,
VG-SES-000004,VG-ACC-00155,VG-ST-018,Type2 AC,Kukatpally,2025-04-29 22:45,walk-up,Completed,49.3,33.1,0.742,,659.0,,,
VG-SES-000005,VG-ACC-00374,VG-ST-001,CCS2,Madhapur,2025-03-28 06:00, App,Failed,51.1,25.8,0.502,,,,,E-AUTH
VG-SES-000006,VG-ACC-00749,VG-ST-002,CHAdeMO,Gachibowli,2025-01-11 18:45,RFID,Failed,33.5,23.6,0.727,,,,,E-GND-FAULT
VG-SES-000007,VG-ACC-02078,VG-ST-012,CCS2,Gachibowli,2025-02-10 09:15,Walk-Up,Completed,21.6,16.5,0.669,2.58,150.0,57,5.0,
VG-SES-000008,VG-ACC-00488,VG-ST-011,Type2 AC,Madhapur,2025-01-11 13:00,RFID,Completed,47.0,23.3,0.508,31.45,84.0,692,4.0,
VG-SES-000009,VG-ACC-00363,VG-ST-008,CCS2,Kukatpally,2025-04-19 16:45,app,Completed,19.0,34.7,0.588,2.54,154.0,56,4.0,
VG-SES-000010,VG-ACC-00080,VG-ST-005,CCS2,Uppal,2025-03-03 12:15,RFID ,Interrupted,70.0,25.5,0.593,0.17,26.0,4,,
VG-SES-000011,VG-ACC-00959,VG-ST-011,Type2 AC,Madhapur,2025-01-07 09:00,Walk-Up,Completed,33.4,24.5,0.643,5.95,164.0,131,4.0,
VG-SES-000012,VG-ACC-01509,VG-ST-006,CHAdeMO,Madhapur,2025-09-15 20:45,RFID,Completed,30.5,29.5,0.854,0.35,24.0,9,3.0,
VG-SES-000013,VG-ACC-00704,VG-ST-014,Type2 AC,Secunderabad,2025-10-18 21:30, App,Completed,36.7,29.3,0.747,3.59,445.0,43,3.0,
VG-SES-000014,VG-ACC-01239,VG-ST-003,CCS2,Kukatpally,2025-10-23 20:00,app,Completed,25.6,26.8,0.8,10.69,37.0,278,4.0,
VG-SES-000015,VG-ACC-00609,VG-ST-018,Type2 AC,Kukatpally,2025-10-04 05:45,RFID ,Completed,41.0,24.2,0.483,27.81,235.0,334,3.0,
VG-SES-000016,VG-ACC-02001,VG-ST-013,Bharat AC-001,Kukatpally,2025-02-12 23:45,Walk-Up,Completed,29.4,19.8,0.671,32.96,343.0,396,1.0,
VG-SES-000017,VG-ACC-00065,VG-ST-007,Type2 AC,Gachibowli,2025-02-24 16:15,Walk-Up,Failed,38.7,28.1,0.662,,,,,E-GND-FAULT
VG-SES-000018,VG-ACC-00502,VG-ST-012,CCS2,Gachibowli,2025-10-06 09:45,app,Completed,71.2,25.1,0.69,9.97,75.0,219,,
VG-SES-000019,VG-ACC-01416,VG-ST-003,CCS2,Kukatpally,2025-01-05 08:30,walk-up,Completed,33.1,18.0,0.603,0.71,80.0,18,,
VG-SES-000020,VG-ACC-02107,VG-ST-014,Type2 AC,Secunderabad,2025-09-07 21:15,walk-up,Failed,54.4,31.7,0.781,,,,,E-OVERCURRENT
VG-SES-000021,VG-ACC-01004,VG-ST-002,CHAdeMO,Gachibowli,2025-02-11 08:30,RFID,Failed,37.7,20.4,0.713,,,,,E-COMM-TIMEOUT
VG-SES-000022,VG-ACC-00175,VG-ST-007,Type2 AC,Gachibowli,2025-01-18 08:30,Walk-Up,Completed,30.2,17.5,0.516,,109.0,,4.0,
VG-SES-000023,VG-ACC-01379,VG-ST-008,CCS2,Kukatpally,2025-09-15 09:15,App,Failed,26.5,28.4,0.689,,,,,E-AUTH
VG-SES-000024,VG-ACC-00676,VG-ST-008,CCS2,Kukatpally,2025-08-30 10:45,Walk-Up,Completed,61.4,34.7,0.584,1.32,82.0,Rs.29,1.0,
VG-SES-000025,VG-ACC-00762,VG-ST-001,CCS2,Madhapur,2025-01-29 22:30,APP,Completed,55.3,20.3,0.702,9.84,49.0,Rs.256,3.0,
VG-SES-000026,VG-ACC-02306,VG-ST-013,Bharat AC-001,Kukatpally,2025-01-13 05:30,App,Completed,52.4,16.1,0.539,1.64,212.0,20,2.0,
VG-SES-000027,VG-ACC-02354,VG-ST-016,Type2 AC,Madhapur,2025-10-19 05:15,RFID ,Completed,22.0,23.2,0.486,,391.0,,2.0,
VG-SES-000028,VG-ACC-00647,VG-ST-005,CCS2,Uppal,2025-03-28 08:00,RFID,Completed,14.5,22.2,0.648,0.5,35.0,13,4.0,
VG-SES-000029,VG-ACC-01479,VG-ST-008,CCS2,Kukatpally,2025-11-16 11:00,App,Completed,31.2,25.9,0.537,16.46,200.0,362,2.0,
