session_id,is_anomaly_TRUTH
VG-SES-000101,1
VG-SES-000117,1
VG-SES-000216,1
VG-SES-000350,1
VG-SES-000374,1
VG-SES-000853,1
VG-SES-000858,1
VG-SES-000872,1
VG-SES-000980,1
VG-SES-001209,1
VG-SES-001273,1
VG-SES-001406,1
VG-SES-001531,1
VG-SES-001583,1
VG-SES-001593,1
VG-SES-001637,1
VG-SES-001821,1
VG-SES-002003,1
VG-SES-002302,1
VG-SES-002402,1
VG-SES-002418,1
VG-SES-002490,1
VG-SES-002551,1
VG-SES-002574,1
VG-SES-002655,1
VG-SES-002896,1
VG-SES-002967,1
VG-SES-003073,1
VG-SES-003173,1
VG-SES-003239,1
VG-SES-003338,1
VG-SES-003388,1
VG-SES-003526,1
VG-SES-003531,1
VG-SES-003553,1
VG-SES-003649,1
VG-SES-003654,1
VG-SES-003751,1
VG-SES-003892,1
VG-SES-003927,1
VG-SES-003993,1
VG-SES-004123,1
VG-SES-004203,1
VG-SES-004230,1
VG-SES-004248,1
VG-SES-004276,1
VG-SES-004301,1
VG-SES-004451,1
VG-SES-004483,1
VG-SES-004596,1
VG-SES-004605,1
VG-SES-004634,1
VG-SES-004660,1
VG-SES-004770,1
VG-SES-004887,1
VG-SES-004950,1
VG-SES-005038,1
VG-SES-005095,1
VG-SES-005162,1
VG-SES-005276,1
VG-SES-005439,1
VG-SES-005451,1
VG-SES-005620,1
VG-SES-005623,1
VG-SES-005737,1
VG-SES-005870,1
VG-SES-006182,1
VG-SES-006209,1
VG-SES-006217,1
VG-SES-006418,1
VG-SES-006433,1
VG-SES-006462,1
VG-SES-006543,1
VG-SES-006619,1
VG-SES-006652,1
VG-SES-006951,1
VG-SES-007160,1
VG-SES-007382,1
VG-SES-007468,1
VG-SES-007576,1
VG-SES-007746,1
VG-SES-007750,1
VG-SES-007800,1
VG-SES-007937,1
VG-SES-007983,1
VG-SES-008010,1
VG-SES-008060,1
VG-SES-008136,1
VG-SES-008361,1
VG-SES-008456,1
VG-SES-008509,1
VG-SES-008529,1
VG-SES-008648,1
VG-SES-008682,1
VG-SES-008751,1
VG-SES-008968,1
VG-SES-009114,1
VG-SES-009145,1
VG-SES-009331,1
VG-SES-009920,1
VG-SES-009988,1
VG-SES-010185,1
VG-SES-010196,1
VG-SES-010218,1
VG-SES-010322,1
VG-SES-010372,1
VG-SES-010524,1
VG-SES-010673,1
VG-SES-010893,1
VG-SES-010978,1
VG-SES-011354,1
VG-SES-011400,1
VG-SES-011433,1
VG-SES-011522,1
VG-SES-011588,1
VG-SES-011647,1
VG-SES-011667,1
VG-SES-011979,1
VG-SES-012422,1
VG-SES-012451,1
VG-SES-012479,1
VG-SES-012701,1
VG-SES-012999,1
VG-SES-013000,1
VG-SES-013107,1
VG-SES-013255,1
VG-SES-013260,1
VG-SES-013285,1
VG-SES-013420,1
VG-SES-013813,1
VG-SES-013921,1
VG-SES-014159,1
VG-SES-014293,1
VG-SES-014454,1
VG-SES-014510,1
VG-SES-014579,1
VG-SES-014696,1
VG-SES-014729,1
VG-SES-014737,1
VG-SES-014819,1
VG-SES-014826,1
VG-SES-014850,1
VG-SES-014887,1
VG-SES-014900,1
VG-SES-014907,1
VG-SES-015017,1
VG-SES-015189,1
VG-SES-015249,1
VG-SES-015341,1
VG-SES-015388,1
VG-SES-015455,1
VG-SES-015483,1
VG-SES-015501,1
VG-SES-015649,1
VG-SES-015653,1
VG-SES-015704,1
VG-SES-015859,1
VG-SES-015966,1
VG-SES-016155,1
VG-SES-016162,1
VG-SES-016611,1
VG-SES-016892,1
VG-SES-016990,1
VG-SES-017079,1
VG-SES-017236,1
VG-SES-017445,1
VG-SES-017503,1
VG-SES-017556,1
VG-SES-017721,1
VG-SES-018010,1
VG-SES-018089,1
VG-SES-018167,1
VG-SES-018173,1
VG-SES-018386,1
VG-SES-018518,1
VG-SES-018602,1
VG-SES-018635,1
VG-SES-018641,1
VG-SES-018724,1
VG-SES-018819,1
